benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
gemm,init_array,0,2,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1000,1,1000,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.9731909523999999,0.19762619812972487,0.89549636608,0.73701621008,1.4424214690800001,0.8195488593816898,0
gemm,init_array,0,4,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1000,1,1000,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.8954665124800001,0.0629063131429332,0.89705004832,0.79104152232,1.0363295303200002,0.8906838210968987,0
gemm,init_array,0,8,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1000,1,1000,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.76768016996,0.04035520345311493,0.76734937492,0.71165662992,0.8710471199200001,1.0389450792268842,1
gemm,init_array,0,16,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1000,1,1000,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.7610074374,0.050121209814949136,0.73801567428,0.7009387562800001,0.9023976452800001,1.0480548491417414,1
gemm,init_array,1,2,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.7866577979799999,0.059354759308056414,0.7832835705800001,0.7100190015800001,0.9370759135800001,1.0138811781285844,1
gemm,init_array,1,4,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.8140521063400001,0.03731619526196749,0.80383799562,0.77254822662,0.9463158136200001,0.9797622643419349,0
gemm,init_array,1,8,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.81607888324,0.03960003953325868,0.8052858109200001,0.76753706192,0.8959206719200001,0.977328970740493,0
gemm,init_array,1,16,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.8297120169800002,0.04184454071076432,0.81931768262,0.7835939366200001,0.9319726756200001,0.9612703187101428,0
gemm,init_array,2,2,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1200,1,1200,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.8220748649599998,0.05803988599826808,0.80092749496,0.77064757996,1.00034160496,0.9702006094527758,0
gemm,init_array,2,4,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1200,1,1200,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.7926279470600001,0.05270933903735971,0.8018494843,0.7146535753000001,0.8972119633000001,1.006244528669925,1
gemm,init_array,2,8,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1200,1,1200,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.7934105986600001,0.0633639332415102,0.79026256102,0.69484097802,0.95313694502,1.0052519292621471,1
gemm,init_array,2,16,1,0,0,1,7,1,38,0,7,13,4,5,1,7,2,0,1,1200,1,1200,0.4473684,0.1842105,0.3529412,0.7975775350000002,0.7776959196600001,0.05451761686248622,0.7703310781000001,0.7080604511,0.9143944771000001,1.0255647674591017,1
gemm,init_array,3,2,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.7917972468400002,0.044598821122124675,0.8001441538800002,0.7020931748800001,0.8804507648800001,1.0073002125014563,1
gemm,init_array,3,4,2,1,1,0,3,1,27,0,3,10,2,4,1,3,1,0,1,1100,1,1100,0.4444444,0.1111111,0.4166667,0.7975775350000002,0.82027539038,0.04510027150000812,0.8072098820600001,0.7543288260600001,0.9119461040600001,0.9723289816490962,0
